City_ID,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
82,totness,5.8833,-56.3167,84.63,67,20,6.06,SR,1719668407
83,urangan,-25.3,152.9,64.2,91,1,5.01,AU,1719668407
84,kirensk,57.7853,108.1119,72.39,59,21,2.8,RU,1719668407
85,colonia,50.9333,6.95,82.26,34,0,3.44,DE,1719668407
86,nagqu,31.5,92.0,49.35,54,16,2.46,CN,1719668407
87,mossel bay,-34.1831,22.146,82.33,39,28,13.4,ZA,1719668407
88,akrehamn,59.2667,5.1833,59.25,58,40,18.41,NO,1719668407
89,batibo,5.8358,9.8553,73.67,84,71,2.46,CM,1719668407
90,maloye ganyushkino,46.6,49.2667,84.18,21,100,16.93,KZ,1719668408
91,saudarkrokur,65.7461,-19.6394,55.96,51,82,3.18,IS,1719668408
92,lompoc,34.6391,-120.4579,54.59,96,100,4.61,US,1719668408
93,san antonio de pale,-1.4014,5.6325,75.65,84,100,11.63,GQ,1719668408
94,eureka,40.8021,-124.1637,52.63,95,12,1.01,US,1719668294
95,jamestown,42.097,-79.2353,69.03,98,100,9.22,US,1719668347
96,kupang,-10.1667,123.5833,79.7,81,100,11.9,ID,1719668408
97,vilyuchinsk,52.9306,158.4028,59.27,74,100,5.37,RU,1719668408
98,faya-largeau,17.9257,19.1043,105.85,14,56,4.9,TD,1719668408
99,mount pearl,47.5166,-52.7813,51.85,90,100,11.5,CA,1719668349
100,luza,60.6308,47.2512,72.16,37,35,3.8,RU,1719668409
101,tazovsky,67.4667,78.7,42.48,78,93,10.09,RU,1719668409
102,chibougamau,49.9168,-74.3659,55.02,94,100,12.66,CA,1719668409
103,macheng,31.1783,115.0319,72.91,94,96,3.74,CN,1719668409
104,hamza,40.4264,71.4956,93.15,14,31,7.07,UZ,1719668409
105,lycksele,64.5954,18.6735,64.27,52,20,13.8,SE,1719668409
106,ust'-kut,56.7938,105.7672,70.83,60,37,1.92,RU,1719668409
107,jalai nur,49.45,117.7,69.37,64,100,7.18,CN,1719668409
108,mitsamiouli,-11.3847,43.2844,79.45,64,4,11.34,KM,1719668410
109,laishevo,55.4046,49.5504,71.82,58,0,14.99,RU,1719668410
110,nar'yan-mar,67.6713,53.087,51.67,93,100,8.52,RU,1719668410
111,klyuchi,52.2667,79.1667,85.91,48,100,4.03,RU,1719668410
112,saint-joseph,-21.3667,55.6167,71.98,67,15,11.95,RE,1719668410
113,rantauprapat,2.1,99.8333,77.5,87,98,2.08,ID,1719668411
114,vredendal,-31.6683,18.5012,68.5,51,100,13.6,ZA,1719668411
115,toamasina,-18.1667,49.3833,71.6,78,75,9.22,MG,1719668411
116,kamennomostskiy,44.2983,40.1856,82.06,31,16,9.35,RU,1719668411
117,betioky,-23.7167,44.3833,74.07,18,0,3.09,MG,1719668411
118,kavaratti,10.5669,72.642,81.84,84,100,17.72,IN,1719668411
119,tete,-16.1564,33.5867,78.89,53,75,6.91,MZ,1719668411
120,simpang,-1.2667,104.0833,75.4,97,25,2.42,ID,1719668411
121,sisimiut,66.9395,-53.6735,40.15,82,100,7.58,GL,1719668411
122,puerto penasco,31.3167,-113.5333,84.9,76,4,5.01,MX,1719668412
123,mishan,45.55,131.8833,68.23,91,85,1.97,CN,1719668412
124,trairi,-3.2778,-39.2689,84.4,57,83,9.73,BR,1719668331
125,tual,-5.6667,132.75,79.57,87,26,9.26,ID,1719668412
126,jackson,42.4165,-122.8345,58.87,74,0,1.01,US,1719668026
127,comodoro rivadavia,-45.8667,-67.5,30.06,80,0,2.3,AR,1719668368
128,kem',64.9555,34.5793,78.84,49,66,11.97,RU,1719668412
129,barra do corda,-5.5,-45.25,93.47,34,14,4.81,BR,1719668412
130,dilling,12.05,29.65,88.0,44,100,14.38,SD,1719668412
131,vila velha,-20.3297,-40.2925,84.15,99,0,3.44,BR,1719668323
132,vila franca do campo,37.7167,-25.4333,70.21,78,91,2.19,PT,1719668413
133,saint-pierre,-21.3393,55.4781,73.08,53,0,20.71,RE,1719668413
134,baringo,0.4667,35.9667,87.71,30,48,5.46,KE,1719668413
135,punta del este,-34.9667,-54.95,46.51,73,75,32.01,UY,1719668413
136,sangmelima,2.9333,11.9833,79.61,75,90,1.83,CM,1719668413
137,kapan,39.2075,46.4058,67.01,68,87,5.12,AM,1719668413
138,holualoa,19.6228,-155.9522,68.56,86,35,6.73,US,1719668414
139,kota bharu,6.1333,102.2386,85.95,84,20,9.22,MY,1719668414
140,san julian,21.0167,-102.1667,63.34,78,96,4.16,MX,1719668414
141,santa vitoria do palmar,-33.5189,-53.3681,43.57,65,6,15.73,BR,1719668414
142,minas de marcona,-15.2119,-75.1103,59.5,64,36,5.99,PE,1719668414
143,tazacorte,28.629,-17.9293,74.16,79,75,13.8,ES,1719668414
144,armacao de buzios,-22.7469,-41.8817,82.56,56,56,17.47,BR,1719668414
145,baiti,13.745,-14.7482,100.27,32,69,8.14,SN,1719668414
146,prachuap khiri khan,12.2167,99.75,79.52,80,98,6.26,TH,1719668414
147,sitka,57.0531,-135.33,57.09,88,100,0.0,US,1719668415
148,acapulco de juarez,16.8634,-99.8901,78.62,83,40,4.61,MX,1719668415
149,la ronge,55.1001,-105.2842,52.05,62,40,2.3,CA,1719668415
150,newman,37.3138,-121.0208,67.28,69,0,3.15,US,1719668349
151,papatowai,-46.5619,169.4708,43.34,84,100,5.97,NZ,1719668415
152,balotra,25.8333,72.2333,92.59,55,94,13.67,IN,1719668415
153,ebon,4.582,168.6964,79.9,79,100,2.37,MH,1719668415
154,port elizabeth,-33.918,25.5701,82.69,30,0,9.22,ZA,1719668395
155,happy valley-goose bay,53.3168,-60.3315,66.51,45,20,11.5,CA,1719668416
156,qarazhal,48.0078,70.7903,81.37,21,4,12.8,KZ,1719668416
157,angaur state,6.906,134.13,83.28,77,99,9.08,PW,1719668416
158,opuwo,-18.0607,13.84,79.54,18,0,7.54,NA,1719668416
159,walvis bay,-22.9575,14.5053,70.75,56,0,11.5,NA,1719668416
160,beardstown,40.0176,-90.4243,80.76,85,4,8.99,US,1719668416
161,coahuayana de hidalgo,18.7,-103.6583,77.61,79,92,0.89,MX,1719668416
162,sanghar,26.0466,68.9481,100.92,41,88,15.37,PK,1719668416
163,igarka,67.4667,86.5833,49.87,54,98,8.16,RU,1719668417
164,nsanje,-16.92,35.262,76.35,56,93,3.94,MW,1719668417
165,tralee,52.2704,-9.7026,59.25,94,100,5.75,IE,1719668417
166,al jawf,29.5,38.75,102.16,8,0,7.74,SA,1719668417
167,fort bragg,35.139,-79.006,85.19,81,40,3.44,US,1719667981
168,sechura,-5.5569,-80.8222,68.2,73,3,10.74,PE,1719668417
169,karratha,-20.7377,116.8463,69.26,51,0,10.29,AU,1719668418
170,mammoth lakes,37.6485,-118.9721,53.35,50,0,3.44,US,1719668418
171,mariehamn,60.0973,19.9348,69.66,46,0,11.5,AX,1719668418
172,nguruka,-5.1092,31.0419,85.71,25,54,4.76,TZ,1719668418
173,vilyuysk,63.7553,121.6247,59.99,57,42,4.29,RU,1719668418
174,invercargill,-46.4,168.35,40.01,92,99,1.99,NZ,1719668418
175,grand-bassam,5.2118,-3.7388,82.36,76,99,11.39,CI,1719668418
176,harriman,35.934,-84.5524,84.25,81,93,6.62,US,1719668418
177,ceelbuur,4.685,46.6176,92.1,33,53,25.28,SO,1719668418
178,qaqortoq,60.7167,-46.0333,35.58,97,100,1.88,GL,1719668419
179,rio branco,-9.9747,-67.81,83.01,74,0,3.44,BR,1719668149
180,cidreira,-30.1811,-50.2056,50.32,64,6,20.27,BR,1719668419
181,novoishimskiy,53.1981,66.7694,63.57,72,89,20.49,KZ,1719668419
182,pechora,65.1472,57.2244,50.5,86,100,5.88,RU,1719668419
183,yokadouma,3.5167,15.05,84.25,58,100,1.83,CM,1719668419
184,hailar,49.2,119.7,62.67,74,84,8.9,CN,1719668419
185,papao,-17.75,-149.55,76.66,83,78,29.84,PF,1719668419
186,suva,-18.1416,178.4415,74.68,88,75,9.22,FJ,1719668420
187,port lincoln,-34.7333,135.8667,54.12,54,100,14.47,AU,1719668420
188,hickory,35.7332,-81.3412,81.25,84,100,0.0,US,1719668127
189,ibiza,38.9088,1.433,81.21,62,0,18.41,ES,1719668420
190,nantucket,41.2835,-70.0995,66.0,74,0,11.5,US,1719668420
191,inarajan village,13.2736,144.7484,82.54,92,14,12.35,GU,1719668420
192,urengoy,65.9667,78.3667,55.96,49,100,2.24,RU,1719668420
193,ancud,-41.8697,-73.8203,43.93,80,100,5.99,CL,1719668420
194,nuuk,64.1835,-51.7216,39.81,93,75,26.46,GL,1719668420
195,piti village,13.4626,144.6933,82.45,86,20,5.75,GU,1719668421
196,saint-jean-de-monts,46.7833,-2.0667,66.06,77,100,13.56,FR,1719668421
197,parang,7.3704,124.2697,77.68,93,100,2.64,PH,1719668421
198,cururupu,-1.8283,-44.8683,90.12,51,9,4.43,BR,1719668421
199,chos malal,-37.3781,-70.2709,45.14,30,100,4.59,AR,1719668421
200,dawson creek,55.7666,-120.2362,53.24,82,0,2.3,CA,1719668421
201,kapa'a,22.0752,-159.319,75.52,89,40,11.5,US,1719668421
202,kujang-up,39.8672,126.0303,74.52,76,99,3.2,KP,1719668421
203,mangai,-4.05,19.5333,98.08,14,91,2.89,CD,1719668421
204,jincheng,35.5022,112.8328,80.65,42,51,7.7,CN,1719668421
205,caleta de carquin,-11.0925,-77.6267,66.27,79,55,7.09,PE,1719668422
206,bouarfa,32.53,-1.95,98.02,6,0,18.21,MA,1719668422
207,nadi,-17.8,177.4167,73.4,88,20,8.05,FJ,1719668355
208,senanga,-16.1167,23.2667,81.86,19,1,3.15,ZM,1719668422
209,pisco,-13.7,-76.2167,60.85,88,100,0.0,PE,1719668423
210,constantia,44.1833,28.65,88.7,60,0,14.56,RO,1719668423
211,kayangel,8.0823,134.7173,83.44,78,100,7.36,PW,1719668423
212,nemuro,43.3236,145.575,56.98,100,100,8.77,JP,1719668423
213,nuriootpa,-34.4833,139.0,44.65,86,46,5.86,AU,1719668423
214,siavonga,-16.5382,28.7088,76.46,42,13,1.81,ZM,1719668423
215,sao vicente,-23.9631,-46.3919,78.28,54,100,2.3,BR,1719668423
